naics_sector,total_loans,total_portfolio_amount,total_expected_loss,expected_loss_ratio_pct
11,1380,866898800.0,70124508.45,8.09
21,227,185795900.0,6110350.72,3.29
22,170,87167500.0,26029139.06,29.86
23,11012,4583052900.0,1168345701.66,25.49
31,1950,1195618300.0,223749037.63,18.71
32,1676,1346204600.0,212086045.97,15.75
33,3492,2869604300.0,546239229.77,19.04
42,4351,3473275600.0,959694478.06,27.63
44,10109,7962518500.0,1087156500.15,13.65
45,3787,1647416400.0,447600918.95,27.17
48,5994,1938605300.0,521170138.96,26.88
49,619,377129000.0,118324100.46,31.37
51,927,610618000.0,101868409.65,16.68
52,2326,1472414600.0,307749650.67,20.9
53,2834,2216454000.0,239335793.35,10.8
54,8530,4172607700.0,852155087.2,20.42
55,78,67878100.0,4093568.33,6.03
56,5344,2087685700.0,616903638.43,29.55
61,1340,681699000.0,142105451.65,20.85
62,9474,6740196100.0,750936128.76,11.14
71,2917,1597664200.0,419302776.22,26.24
72,12592,10504624200.0,1206427988.25,11.48
81,8850,4979606200.0,664596547.53,13.35
92,21,13830100.0,1923388.62,13.91
