naics_sector,total_loans,defaulted_loans,resolved_loans,default_rate_pct,avg_loan_amount,total_portfolio_amount,risk_rank
48,5994,315,3342,9.43,323424.31,1938605300.0,1
22,170,8,87,9.2,512750.0,87167500.0,2
49,619,25,288,8.68,609255.25,377129000.0,3
45,3787,146,1702,8.58,435018.85,1647416400.0,4
71,2917,107,1248,8.57,547707.99,1597664200.0,5
56,5344,220,2578,8.53,390659.75,2087685700.0,6
23,11012,451,5711,7.9,416187.15,4583052900.0,7
61,1340,45,571,7.88,508730.6,681699000.0,8
42,4351,170,2190,7.76,798270.65,3473275600.0,9
54,8530,243,3901,6.23,489168.55,4172607700.0,10
81,8850,226,3703,6.1,562667.37,4979606200.0,11
72,12592,311,5512,5.64,834230.0,10504624200.0,12
44,10109,234,4237,5.52,787666.29,7962518500.0,13
31,1950,45,831,5.42,613137.59,1195618300.0,14
53,2834,66,1246,5.3,782093.86,2216454000.0,15
51,927,20,416,4.81,658703.34,610618000.0,16
33,3492,68,1534,4.43,821765.26,2869604300.0,17
62,9474,165,3869,4.26,711441.43,6740196100.0,18
52,2326,46,1121,4.1,633024.33,1472414600.0,19
32,1676,30,766,3.92,803224.7,1346204600.0,20
11,1380,22,724,3.04,628187.54,866898800.0,21
21,227,1,122,0.82,818484.14,185795900.0,22
55,78,0,31,0.0,870232.05,67878100.0,23
92,21,0,9,0.0,658576.19,13830100.0,23
