feature,coefficient,abs_coefficient
naics_sector_21,-2.9856413904393584,2.9856413904393584
state_AK,-2.040014551890193,2.040014551890193
state_NE,-1.8458947845950018,1.8458947845950018
term_months,-1.8130869579357292,1.8130869579357292
state_DC,1.7819529959321212,1.7819529959321212
state_ND,-1.6669418422870326,1.6669418422870326
state_VT,-1.3462057706956958,1.3462057706956958
state_PR,-1.2846830644891416,1.2846830644891416
state_FL,1.2736837101141827,1.2736837101141827
state_MT,-1.198741763365536,1.198741763365536
state_AL,1.1700512433271393,1.1700512433271393
state_TX,1.0259799502506393,1.0259799502506393
state_NH,-0.953237575692232,0.953237575692232
state_NJ,0.9469901964973226,0.9469901964973226
state_LA,0.8957175573342093,0.8957175573342093
state_MA,-0.8940716426136178,0.8940716426136178
state_NV,0.8846696923798526,0.8846696923798526
state_NY,0.8477007080665538,0.8477007080665538
state_ME,-0.8430123715715538,0.8430123715715538
naics_sector_11,-0.7987585596579325,0.7987585596579325
state_MD,0.7754432293232265,0.7754432293232265
state_SC,0.7724956988285292,0.7724956988285292
state_WV,-0.7505494086528993,0.7505494086528993
naics_sector_55,-0.7325215575370052,0.7325215575370052
state_KS,-0.7297774882376138,0.7297774882376138
state_GA,0.7154766169441298,0.7154766169441298
state_TN,0.6505707988166493,0.6505707988166493
state_MN,-0.6117380854011174,0.6117380854011174
state_WY,0.5929845374174365,0.5929845374174365
state_DE,0.580193231198597,0.580193231198597
state_ID,-0.569049680244144,0.569049680244144
naics_sector_49,0.5455701878704237,0.5455701878704237
state_CT,0.5426567162901854,0.5426567162901854
state_NM,-0.5286847608656743,0.5286847608656743
state_AZ,0.508761396343714,0.508761396343714
state_GU,-0.5034529276735626,0.5034529276735626
state_CO,0.4847921403432302,0.4847921403432302
state_KY,-0.46326191917318355,0.46326191917318355
naics_sector_71,0.4625336181948808,0.4625336181948808
naics_sector_61,0.4586346978370924,0.4586346978370924
state_IN,-0.41825839463084796,0.41825839463084796
state_VA,0.41706794125381363,0.41706794125381363
state_MI,-0.4016360335324881,0.4016360335324881
state_PA,0.38564108967622196,0.38564108967622196
naics_sector_45,0.3853607215506555,0.3853607215506555
naics_sector_51,-0.36469915001641223,0.36469915001641223
state_CA,0.3530442484591866,0.3530442484591866
naics_sector_53,0.3511962365957072,0.3511962365957072
naics_sector_56,0.3477909988625132,0.3477909988625132
state_AR,-0.3406561422957175,0.3406561422957175
naics_sector_72,0.3400084541358413,0.3400084541358413
state_IL,0.33034740526785183,0.33034740526785183
state_OR,0.2805091078896022,0.2805091078896022
naics_sector_92,-0.2800364747847614,0.2800364747847614
loan_amount,-0.2722130030770979,0.2722130030770979
naics_sector_44,0.25691510346472735,0.25691510346472735
naics_sector_23,0.25375188403262217,0.25375188403262217
naics_sector_42,0.24784249001665953,0.24784249001665953
naics_sector_52,-0.2444461177411321,0.2444461177411321
state_SD,-0.2435109379840479,0.2435109379840479
naics_sector_81,0.22818683655849376,0.22818683655849376
naics_sector_32,-0.22197266272713312,0.22197266272713312
naics_sector_48,0.19226674787085488,0.19226674787085488
naics_sector_31,0.1883835696654681,0.1883835696654681
state_NC,0.18415733750492463,0.18415733750492463
state_MS,-0.16911613431573652,0.16911613431573652
state_HI,-0.14930144017499075,0.14930144017499075
state_RI,0.14888340939492575,0.14888340939492575
state_MO,0.14613779214724937,0.14613779214724937
naics_sector_22,0.12338389285362615,0.12338389285362615
state_OK,-0.12150623876160416,0.12150623876160416
state_OH,0.10601268228461437,0.10601268228461437
state_UT,0.07733176254214112,0.07733176254214112
state_VI,-0.06885388702124381,0.06885388702124381
state_WA,-0.05858445924151465,0.05858445924151465
state_IA,0.030559400317953938,0.030559400317953938
naics_sector_33,-0.020143622540592633,0.020143622540592633
state_WI,0.010394032132169453,0.010394032132169453
naics_sector_62,-0.010068295580146314,0.010068295580146314
naics_sector_54,-0.0040722856131480845,0.0040722856131480845
