naics_sector,state,total_loans,total_portfolio_amount,total_expected_loss,defaulted_loans,resolved_loans,observed_default_rate_pct,avg_loan_size,expected_loss_ratio_pct,recommended_action
11,AK,11,4283000.0,211856.94,0,7,0.0,389363.64,4.95,Grow
11,AL,41,34545600.0,8019439.25,1,15,6.67,842575.61,23.21,Maintain
11,AR,60,49686700.0,1889267.1,0,34,0.0,828111.67,3.8,Grow
11,AZ,2,1185700.0,54802.23,0,1,0.0,592850.0,4.62,Grow
11,CA,84,47969300.0,4467556.87,2,35,5.71,571063.1,9.31,Grow
11,CO,11,1580400.0,363411.5,1,5,20.0,143672.73,22.99,Tighten
11,CT,6,1739300.0,66040.09,1,5,20.0,289883.33,3.8,Tighten
11,DE,10,3180900.0,582485.41,1,6,16.67,318090.0,18.31,Tighten
11,FL,28,19376900.0,2717141.36,2,15,13.33,692032.14,14.02,Tighten
11,GA,102,143107900.0,7090496.38,0,53,0.0,1403018.63,4.95,Grow
11,HI,1,30000.0,10885.03,0,1,0.0,30000.0,36.28,Grow
11,IA,8,2124400.0,453343.51,0,5,0.0,265550.0,21.34,Grow
11,ID,22,7157500.0,458601.08,0,15,0.0,325340.91,6.41,Grow
11,IL,6,3189100.0,339558.21,0,2,0.0,531516.67,10.65,Grow
11,IN,6,3647500.0,125020.99,0,1,0.0,607916.67,3.43,Grow
11,KS,18,3542100.0,278936.98,0,6,0.0,196783.33,7.87,Grow
11,KY,13,2399100.0,170373.96,1,7,14.29,184546.15,7.1,Tighten
11,LA,11,11775500.0,1193380.11,0,7,0.0,1070500.0,10.13,Grow
11,MA,11,7389400.0,351296.49,0,4,0.0,671763.64,4.75,Grow
11,MD,6,1560000.0,172793.53,0,2,0.0,260000.0,11.08,Grow
11,ME,36,5872800.0,824515.34,0,23,0.0,163133.33,14.04,Grow
11,MI,33,10558000.0,1073373.8,0,25,0.0,319939.39,10.17,Grow
11,MN,156,66800100.0,5291835.08,1,96,1.04,428205.77,7.92,Grow
11,MO,43,24746600.0,1441054.49,0,20,0.0,575502.33,5.82,Grow
11,MS,139,69123300.0,6239098.43,0,81,0.0,497289.93,9.03,Grow
11,MT,17,5615000.0,399218.38,0,12,0.0,330294.12,7.11,Grow
11,NC,43,44726700.0,2274195.55,0,17,0.0,1040155.81,5.08,Grow
11,ND,22,21250000.0,929595.12,0,17,0.0,965909.09,4.37,Grow
11,NE,46,45053900.0,367680.31,1,17,5.88,979432.61,0.82,Grow
11,NH,13,1574300.0,237164.34,0,6,0.0,121100.0,15.06,Grow
11,NJ,9,4945000.0,139686.65,1,4,25.0,549444.44,2.82,Tighten
11,NM,6,2054200.0,82027.68,0,3,0.0,342366.67,3.99,Grow
11,NY,37,6281500.0,1769678.23,4,19,21.05,169770.27,28.17,Tighten
11,OH,30,9081700.0,650172.51,0,12,0.0,302723.33,7.16,Grow
11,OK,6,5579000.0,162450.47,0,2,0.0,929833.33,2.91,Grow
11,OR,24,10451300.0,462824.34,2,11,18.18,435470.83,4.43,Tighten
11,PA,25,12861700.0,795485.81,0,16,0.0,514468.0,6.18,Grow
11,PR,1,20000.0,950.54,0,1,0.0,20000.0,4.75,Grow
11,RI,4,1905700.0,62263.99,0,0,0.0,476425.0,3.27,Grow
11,SC,3,4189500.0,255331.42,0,1,0.0,1396500.0,6.09,Grow
11,SD,16,3544800.0,620650.17,0,9,0.0,221550.0,17.51,Grow
11,TN,27,34992000.0,1356260.06,0,11,0.0,1296000.0,3.88,Grow
11,TX,51,69222300.0,7612744.53,0,19,0.0,1357300.0,11.0,Grow
11,UT,9,1684900.0,229917.29,0,5,0.0,187211.11,13.65,Grow
11,VA,19,31241300.0,2774196.67,0,9,0.0,1644278.95,8.88,Grow
11,VT,6,720400.0,86874.68,1,4,25.0,120066.67,12.06,Tighten
11,WA,45,8533400.0,965704.99,1,24,4.17,189631.11,11.32,Grow
11,WI,46,12009200.0,3877431.62,2,28,7.14,261069.57,32.29,Maintain
11,WV,7,2493300.0,101659.19,0,4,0.0,356185.71,4.08,Grow
11,WY,4,296600.0,23779.77,0,2,0.0,74150.0,8.02,Grow
21,AK,1,400000.0,2047.21,0,1,0.0,400000.0,0.51,Grow
21,AL,2,2310000.0,214206.6,0,1,0.0,1155000.0,9.27,Grow
21,AR,1,25000.0,761.25,0,0,0.0,25000.0,3.04,Grow
21,AZ,2,3192000.0,28643.32,0,2,0.0,1596000.0,0.9,Grow
21,CA,2,5117500.0,35779.03,0,0,0.0,2558750.0,0.7,Grow
21,CO,15,9843700.0,384589.12,0,4,0.0,656246.67,3.91,Grow
21,FL,3,3220000.0,739561.12,0,1,0.0,1073333.33,22.97,Grow
21,GA,3,5426000.0,129107.48,0,0,0.0,1808666.67,2.38,Grow
21,ID,4,477200.0,5129.75,0,1,0.0,119300.0,1.07,Grow
21,IL,1,350000.0,8727.56,0,1,0.0,350000.0,2.49,Grow
21,KS,11,3651300.0,99714.56,0,9,0.0,331936.36,2.73,Grow
21,KY,4,1103500.0,56666.19,0,3,0.0,275875.0,5.14,Grow
21,LA,9,13067000.0,419335.21,0,2,0.0,1451888.89,3.21,Grow
21,MA,1,44800.0,790.14,0,0,0.0,44800.0,1.76,Grow
21,MI,1,25800.0,1222.34,0,1,0.0,25800.0,4.74,Grow
21,MN,7,4924200.0,29943.56,0,3,0.0,703457.14,0.61,Grow
21,MO,1,505000.0,10061.0,0,1,0.0,505000.0,1.99,Grow
21,MS,2,402500.0,29112.37,0,2,0.0,201250.0,7.23,Grow
21,MT,4,1296400.0,21023.46,0,4,0.0,324100.0,1.62,Grow
21,NC,1,1000000.0,80177.21,0,1,0.0,1000000.0,8.02,Grow
21,ND,13,10915500.0,63318.11,0,10,0.0,839653.85,0.58,Grow
21,NH,2,149200.0,3270.96,0,1,0.0,74600.0,2.19,Grow
21,NM,22,16044200.0,243263.52,0,11,0.0,729281.82,1.52,Grow
21,NY,3,1725000.0,132677.03,0,1,0.0,575000.0,7.69,Grow
21,OH,5,4534300.0,22303.27,0,3,0.0,906860.0,0.49,Grow
21,OK,27,17577500.0,332517.36,0,19,0.0,651018.52,1.89,Grow
21,OR,3,7409800.0,1640.95,0,0,0.0,2469933.33,0.02,Grow
21,PA,9,2538900.0,84180.67,0,5,0.0,282100.0,3.32,Grow
21,PR,1,90000.0,5505.69,0,1,0.0,90000.0,6.12,Grow
21,SD,2,4867000.0,7957.99,0,1,0.0,2433500.0,0.16,Grow
21,TX,45,46970600.0,2759464.61,0,25,0.0,1043791.11,5.87,Grow
21,UT,8,2691100.0,57521.14,1,5,20.0,336387.5,2.14,Tighten
21,VA,1,100000.0,2913.32,0,0,0.0,100000.0,2.91,Grow
21,VT,1,1400000.0,86.92,0,0,0.0,1400000.0,0.01,Grow
21,WA,3,3158400.0,36945.22,0,0,0.0,1052800.0,1.17,Grow
21,WI,3,3320000.0,30157.02,0,2,0.0,1106666.67,0.91,Grow
21,WV,1,100000.0,3319.17,0,0,0.0,100000.0,3.32,Grow
21,WY,3,5822500.0,26709.29,0,1,0.0,1940833.33,0.46,Grow
22,AL,2,414000.0,238642.53,0,0,0.0,207000.0,57.64,Grow
22,AR,2,139100.0,39958.81,0,1,0.0,69550.0,28.73,Grow
22,AZ,2,2763000.0,554751.15,0,2,0.0,1381500.0,20.08,Grow
22,CA,19,16138400.0,4274379.11,1,8,12.5,849389.47,26.49,Maintain
22,CO,5,2203100.0,758728.9,0,4,0.0,440620.0,34.44,Grow
22,CT,2,2917000.0,815074.54,0,1,0.0,1458500.0,27.94,Grow
22,FL,9,3208400.0,1561217.58,4,6,66.67,356488.89,48.66,Tighten
22,GA,5,6227500.0,2648566.62,0,3,0.0,1245500.0,42.53,Grow
22,IA,2,955000.0,251057.34,0,1,0.0,477500.0,26.29,Grow
22,ID,1,1649400.0,226667.69,0,0,0.0,1649400.0,13.74,Grow
22,IL,6,2895000.0,1027673.56,0,2,0.0,482500.0,35.5,Grow
22,IN,2,840000.0,245580.62,0,2,0.0,420000.0,29.24,Grow
22,KS,4,1642600.0,260547.48,0,1,0.0,410650.0,15.86,Grow
22,MA,12,5634800.0,957952.45,0,8,0.0,469566.67,17.0,Grow
22,MD,3,2625000.0,838356.07,0,1,0.0,875000.0,31.94,Grow
22,MI,5,1423100.0,49107.9,0,2,0.0,284620.0,3.45,Grow
22,MN,10,4816400.0,775422.94,0,4,0.0,481640.0,16.1,Grow
22,MO,2,243500.0,103211.25,0,2,0.0,121750.0,42.39,Grow
