state,total_loans,defaulted_loans,resolved_loans,default_rate_pct,avg_loan_amount,total_portfolio_amount,risk_rank
DC,177,19,84,22.62,439497.74,77791100.0,1
NY,4904,256,2072,12.36,507377.79,2488180700.0,2
FL,5926,321,2606,12.32,716127.02,4243768700.0,3
MD,1423,73,648,11.27,466078.85,663230200.0,4
WY,191,10,90,11.11,574238.22,109679500.0,5
NV,915,47,440,10.68,660960.22,604778600.0,6
AL,680,27,270,10.0,741096.76,503945800.0,7
NJ,2813,113,1173,9.63,643393.42,1809865700.0,8
LA,685,26,278,9.35,739006.28,506219300.0,9
TX,7550,276,3106,8.89,879936.73,6643522300.0,10
CT,1156,44,540,8.15,412715.57,477099200.0,11
DE,285,11,139,7.91,436303.16,124346400.0,12
HI,202,9,116,7.76,225298.51,45510300.0,13
TN,1078,36,492,7.32,781072.45,841996100.0,14
CO,2718,87,1228,7.08,713814.05,1940146600.0,15
VA,1485,42,609,6.9,659541.62,979419300.0,16
SC,1036,30,466,6.44,828802.12,858639000.0,17
PA,3090,88,1375,6.4,525623.88,1624177800.0,18
OH,6333,194,3164,6.13,326594.55,2068323300.0,19
IL,3345,92,1521,6.05,619033.9,2070668400.0,20
CA,11735,311,5166,6.02,828200.88,9718937300.0,21
RI,360,8,133,6.02,436521.39,157147700.0,22
OR,1664,44,746,5.9,560707.03,933016500.0,23
SD,340,11,188,5.85,397772.35,135242600.0,24
MS,696,20,353,5.67,549435.92,382407400.0,25
AZ,2024,53,940,5.64,742435.03,1502688500.0,26
UT,1762,51,913,5.59,613253.86,1080553300.0,27
GA,3141,74,1328,5.57,951644.29,2989114700.0,28
MO,1982,51,935,5.45,515052.52,1020834100.0,29
OK,1190,28,528,5.3,585387.9,696611600.0,30
IA,785,18,384,4.69,492541.02,386644700.0,31
WA,2840,60,1316,4.56,676527.11,1921337000.0,32
WI,2439,50,1115,4.48,535043.5,1304971100.0,33
KY,869,20,458,4.37,496306.9,431290700.0,34
AR,636,14,321,4.36,513732.08,326733600.0,35
MA,2378,49,1227,3.99,330806.01,786656700.0,36
IN,2281,41,1064,3.85,503596.01,1148702500.0,37
MI,4129,74,1960,3.78,413407.48,1706959500.0,38
KS,919,16,453,3.53,504300.65,463452300.0,39
NC,2188,34,981,3.47,845262.34,1849434000.0,40
MN,3711,66,1928,3.42,440283.0,1633890200.0,41
NH,829,13,426,3.05,296920.87,246147400.0,42
NM,513,6,203,2.96,680347.56,349018300.0,43
WV,391,6,203,2.96,358302.81,140096400.0,43
NE,664,8,290,2.76,500859.49,332570700.0,44
ID,848,11,442,2.49,506044.58,429125800.0,45
MT,476,6,242,2.48,516517.44,245862300.0,46
ME,515,6,260,2.31,304303.69,156716400.0,47
PR,789,7,306,2.29,193191.13,152427800.0,48
VT,341,4,206,1.94,224828.15,76666400.0,49
ND,332,3,212,1.42,396214.76,131543300.0,50
AK,209,0,83,0.0,695963.16,145456300.0,51
GU,16,0,7,0.0,201343.75,3221500.0,51
VI,16,0,5,0.0,736131.25,11778100.0,51
